Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources,EV J1772 Connector Count,EV J1772 Power Output (kW),EV CCS Connector Count,EV CCS Power Output (kW),EV CHAdeMO Connector Count,EV CHAdeMO Power Output (kW),EV J3400 Connector Count,EV J3400 Power Output (kW),EV J3271 Connector Count,EV J3271 Power Output (kW),Snapshot Date
ELEC,1075 Peachtree,1075 Peachtree St NE,On Level P12,Atlanta,GA,30309,,,E,,Public,24 hours daily,,,,,,6,,,ENVIROSPARK,https://envirosparkenergy.com,GPS,33.78412,-84.3828,11/13/2025,37265,2026-03-31 19:37:47 UTC,P,,,12/15/2010,,,,,J1772,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,$0.40 per kWh,,,,,,,,,,FALSE,,,,,,,,LD,TRUE,,1,6.7,0,,0,,0,,0,,7/7/2026
ELEC,1075 Peachtree,1075 Peachtree St NE,On Level P12,Atlanta,GA,30309,,,E,,Public,24 hours daily,,,,,,6,,,ENVIROSPARK,https://envirosparkenergy.com,GPS,33.78412,-84.3828,11/13/2025,37265,2026-03-31 19:37:47 UTC,P,,,12/15/2010,,,,,J1772,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,$0.40 per kWh,,,,,,,,,,FALSE,,,,,,,,LD,TRUE,,1,6.7,0,,0,,0,,0,,7/7/2026
ELEC,1075 Peachtree,1075 Peachtree St NE,On Level P12,Atlanta,GA,30309,,,E,,Public,24 hours daily,,,,,,6,,,ENVIROSPARK,https://envirosparkenergy.com,GPS,33.78412,-84.3828,11/13/2025,37265,2026-03-31 19:37:47 UTC,P,,,12/15/2010,,,,,J1772,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,$0.40 per kWh,,,,,,,,,,FALSE,,,,,,,,LD,TRUE,,1,6.7,0,,0,,0,,0,,7/7/2026
ELEC,1075 Peachtree,1075 Peachtree St NE,On Level P12,Atlanta,GA,30309,,,E,,Public,24 hours daily,,,,,,6,,,ENVIROSPARK,https://envirosparkenergy.com,GPS,33.78412,-84.3828,11/13/2025,37265,2026-03-31 19:37:47 UTC,P,,,12/15/2010,,,,,J1772,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,$0.40 per kWh,,,,,,,,,,FALSE,,,,,,,,LD,TRUE,,1,6.7,0,,0,,0,,0,,7/7/2026
ELEC,1075 Peachtree,1075 Peachtree St NE,On Level P12,Atlanta,GA,30309,,,E,,Public,24 hours daily,,,,,,6,,,ENVIROSPARK,https://envirosparkenergy.com,GPS,33.78412,-84.3828,11/13/2025,37265,2026-03-31 19:37:47 UTC,P,,,12/15/2010,,,,,J1772,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,$0.40 per kWh,,,,,,,,,,FALSE,,,,,,,,LD,TRUE,,1,6.7,0,,0,,0,,0,,7/7/2026
ELEC,1075 Peachtree,1075 Peachtree St NE,On Level P12,Atlanta,GA,30309,,,E,,Public,24 hours daily,,,,,,6,,,ENVIROSPARK,https://envirosparkenergy.com,GPS,33.78412,-84.3828,11/13/2025,37265,2026-03-31 19:37:47 UTC,P,,,12/15/2010,,,,,J1772,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,$0.40 per kWh,,,,,,,,,,FALSE,,,,,,,,LD,TRUE,,1,6.7,0,,0,,0,,0,,7/7/2026
ELEC,Nalley Nissan - Atlanta,2551 The Nalley Way,,Atlanta,GA,30360,,855-416-9828,E,,Public,Dealership business hours,,,,,,2,2,,Non-Networked,,GPS,33.907711,-84.282664,1/13/2026,39985,2026-02-02 23:16:24 UTC,P,,,6/5/2012,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,,CAR_DEALER,,,,,,,,,,,,,,,,,TRUE,,,,,,,,LD,FALSE,,1,,0,,0,,0,,0,,7/7/2026
ELEC,Nalley Nissan - Atlanta,2551 The Nalley Way,,Atlanta,GA,30360,,855-416-9828,E,,Public,Dealership business hours,,,,,,2,2,,Non-Networked,,GPS,33.907711,-84.282664,1/13/2026,39985,2026-02-02 23:16:24 UTC,P,,,6/5/2012,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,,CAR_DEALER,,,,,,,,,,,,,,,,,TRUE,,,,,,,,LD,FALSE,,1,,0,,0,,0,,0,,7/7/2026
ELEC,Nalley Nissan - Atlanta,2551 The Nalley Way,,Atlanta,GA,30360,,855-416-9828,E,,Public,Dealership business hours,,,,,,2,2,,Non-Networked,,GPS,33.907711,-84.282664,1/13/2026,39985,2026-02-02 23:16:24 UTC,P,,,6/5/2012,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,,CAR_DEALER,,,,,,,,,,,,,,,,,TRUE,,,,,,,,LD,FALSE,,0,,1,50,1,50,0,,0,,7/7/2026
ELEC,Nalley Nissan - Atlanta,2551 The Nalley Way,,Atlanta,GA,30360,,855-416-9828,E,,Public,Dealership business hours,,,,,,2,2,,Non-Networked,,GPS,33.907711,-84.282664,1/13/2026,39985,2026-02-02 23:16:24 UTC,P,,,6/5/2012,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,,CAR_DEALER,,,,,,,,,,,,,,,,,TRUE,,,,,,,,LD,FALSE,,0,,0,,1,50,0,,0,,7/7/2026
